No Agent;;01/04/2025;02/04/2025;03/04/2025;04/04/2025;05/04/2025;06/04/2025;07/04/2025;08/04/2025;09/04/2025;10/04/2025;11/04/2025;12/04/2025;13/04/2025;14/04/2025;15/04/2025;16/04/2025;17/04/2025;18/04/2025;19/04/2025;20/04/2025;21/04/2025;22/04/2025;23/04/2025;24/04/2025;25/04/2025;26/04/2025;27/04/2025;28/04/2025;29/04/2025;30/04/2025
1;;RH;TP;N;N;RH;RH;N;N;RH;RH;RH;N;N;N;RH;RH;RH;N;N;N;RH;RH;RH;N;N;RH;RH;N;N;RH
2;;N;N;RH;RH;RC;RH;RH;RH;N;N;N;RH;RH;RH;N;N;N;RH;RH;RH;RH;RH;RH;RH;RH;N;N;RH;RH;RH
4;;RH;RH;FC;J1;M;M;M;RH;RH;S;S;S;S;RH;RH;J1;J1;M;RH;RH;CA;CA;CA;CA;CA;RH;RH;M;M;RH
5;;S;RH;RH;RH;M;M;J2;S;J1;RH;RH;RH;RH;RH;RH;M;M;J1;M;M;RH;RH;M;M;RH;RH;RH;M;M;RH
6;;M;J1;RH;RH;S;S;RH;RH;S;S;S;RH;RH;CA;CA;CA;CA;CA;RH;RH;M;M;M;S;S;RH;RH;RH;RH;N
7;;J1;S;S;RH;RH;RH;M;M;M;M;J1;RH;RH;M;M;RH;RH;RH;S;S;S;S;S;RH;RH;S;S;J1;S;S
8;;RH;RH;M;M;RH;RH;S;J1;M;M;J2;RH;RH;J1;S;RH;RH;J2;S;S;S;RH;RH;M;J1;M;M;RH;RH;RH
9;;S;S;S;RH;RH;RH;S;S;RH;RH;RH;S;S;S;S;S;RH;RH;M;M;J1;M;N;RH;RH;S;S;RH;RH;M
10;;M;RH;RH;S;S;S;J1;M;RH;RH;M;M;M;RH;RH;S;S;S;RH;RH;M;S;S;S;S;RH;RH;RH;J2;J1
11;;RH;M;J1;J2;RH;RH;CA;CA;CA;CA;CA;RH;RH;S;J1;M;M;M;RH;RH;N;N;RH;RH;M;M;M;S;RH;RH
12;;RH;RH;M;M;RH;RH;CA;CA;CA;CA;CA;RH;RH;M;M;RH;RH;CA;RH;RH;J2;J1;J1;J1;M;RH;RH;J2;J1;M
13;;J2;J2;J2;RH;RH;RH;RH;J2;J2;J2;RH;RH;RH;J2;J2;J2;J2;RH;RH;RH;RH;J2;J2;J2;J2;RH;RH;RH;RH;J2
3;;RH;M;FC;S;N;N;RH;RH;S;J1;M;M;M;RH;RH;RH;S;S;RH;RH;CA;CA;CA;CA;CA;RH;RH;S;S;S

