Stat name;2025-04-01;2025-04-02;2025-04-03;2025-04-04;2025-04-05;2025-04-06;2025-04-07;2025-04-08;2025-04-09;2025-04-10;2025-04-11;2025-04-12;2025-04-13;2025-04-14;2025-04-15;2025-04-16;2025-04-17;2025-04-18;2025-04-19;2025-04-20;2025-04-21;2025-04-22;2025-04-23;2025-04-24;2025-04-25;2025-04-26;2025-04-27;2025-04-28;2025-04-29;2025-04-30
Assimilated Work Assigned Number;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Assimilated Work Activity FC Assigned Number;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Assimilated Work Activity TSY Assigned Number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rest Assigned Number;4;4;2;4;8;6;3;2;2;2;2;8;7;3;3;3;3;2;7;7;3;2;2;2;3;8;7;4;4;4
Planned Leave Assigned Number;0;0;0;0;0;0;2;2;2;2;2;0;0;1;1;1;1;2;0;0;2;2;2;2;2;0;0;0;0;0
Unplanned Leave Assigned Number;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Leave Assigned Number;2;2;2;2;2;2;4;4;4;4;4;2;2;3;3;3;3;4;2;2;4;4;4;4;4;2;2;2;2;2
Available Resource Number;6;6;4;6;10;8;7;6;6;6;6;10;9;6;6;6;6;6;9;9;7;6;6;6;7;10;9;6;6;6
Daily undercoverage;0;0;0;0;2;0;1;0;0;0;0;2;1;0;0;0;0;0;1;1;1;0;0;0;1;2;1;0;0;0
Night Effective Work Need Time;10:0:0;10:0:0;10:0:0;10:0:0;10:0:0;10:0:0;10:0:0;10:0:0;10:0:0;10:0:0;10:0:0;10:0:0;10:0:0;10:0:0;10:0:0;10:0:0;10:0:0;10:0:0;10:0:0;10:0:0;10:0:0;10:0:0;10:0:0;10:0:0;10:0:0;10:0:0;10:0:0;10:0:0;10:0:0;10:0:0
Effective Work Need Time Excl Night;48:0:0;48:0:0;48:0:0;48:0:0;28:0:0;28:0:0;48:0:0;48:0:0;48:0:0;48:0:0;48:0:0;28:0:0;28:0:0;48:0:0;48:0:0;48:0:0;48:0:0;48:0:0;28:0:0;28:0:0;48:0:0;48:0:0;48:0:0;48:0:0;48:0:0;28:0:0;28:0:0;48:0:0;48:0:0;48:0:0
Effective Work Need Time;58:0:0;58:0:0;58:0:0;58:0:0;38:0:0;38:0:0;58:0:0;58:0:0;58:0:0;58:0:0;58:0:0;38:0:0;38:0:0;58:0:0;58:0:0;58:0:0;58:0:0;58:0:0;38:0:0;38:0:0;58:0:0;58:0:0;58:0:0;58:0:0;58:0:0;38:0:0;38:0:0;58:0:0;58:0:0;58:0:0
Night Undercoverage Time;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0
Undercoverage Time Excl Night;0:0:0;0:0:0;0:0:0;0:0:0;14:0:0;0:0:0;10:0:0;0:0:0;0:0:0;0:0:0;0:0:0;14:0:0;7:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;7:0:0;7:0:0;10:0:0;0:0:0;0:0:0;0:0:0;10:0:0;14:0:0;7:0:0;0:0:0;0:0:0;0:0:0
Undercoverage Time;0:0:0;0:0:0;0:0:0;0:0:0;14:0:0;0:0:0;10:0:0;0:0:0;0:0:0;0:0:0;0:0:0;14:0:0;7:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;7:0:0;7:0:0;10:0:0;0:0:0;0:0:0;0:0:0;10:0:0;14:0:0;7:0:0;0:0:0;0:0:0;0:0:0
Night Overcoverage Time;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0
Overcoverage Time Excl Night;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0
Overcoverage Time;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0
