dataset,hexaly solver,,,,mathopt solver,,,
,bound,obj,iteration_time,GAP_hexaly,primal_bound,dual_bound,solve_time,GAP-mathopt
1,0,0,1,,0,0,0.319161,
1,10000,10000,1,0.000000,10000,10000,0.459469,0.000000
1,0,0,137,,0,0,0.400534,
1,0,0,0,,0,0,0.359027,
1,149,221,440,0.325792,156,149,577.041693,0.044872
2,0,0,0,,0,0,0.217411,
2,10000,10000,0,0.000000,10000,10000,0.352840,0.000000
2,3000,3400,289,0.117647,3400,3200,289.072000,0.058824
2,3200,6400,203,0.500000,5400,3000,202.162528,0.444444
2,3208.16,6463,87,0.503611,5424,2875,87.023289,0.469948
3,0,0,0,,0,0,0.182160,
3,0,0,1,,0,0,0.505150,
3,0,0,32,,0,0,0.476868,
3,0,0,0,,0,0,0.344892,
3,528,528,118,0.000000,528,528,28.929971,0.000000
4,0,0,0,,0,0,0.224055,
4,0,0,1,,0,0,0.577218,
4,1220,1220,34,0.000000,1220,1140,289.038222,0.065574
4,2220,2220,60,0.000000,2220,2160,202.034409,0.027027
4,2799.33,2831,484,0.011187,2807,2726,86.299761,0.028856
5,0,0,1,,0,0,0.346691,
5,0,0,4,,0,0,1.083765,
5,0,0,258,,0,0,1.010250,
5,0,0,0,,0,0,0.763976,
5,1121,1255,314,0.106773,1125,1125,43.714173,0.000000
6,0,0,1,,0,0,0.249267,
6,10000,10000,3,0.000000,10000,10000,0.470915,0.000000
6,0,200,287,1.000000,0,0,0.392130,
6,0,0,161,,0,0,0.333476,
6,169,221,127,0.235294,172,169,577.044351,0.017442
7,0,0,0,,0,0,0.016465,
7,0,0,0,,0,0,0.026990,
7,5400,5400,0,0.000000,5400,5400,0.022451,0.000000
7,8400,8400,0,0.000000,8400,8400,0.022620,0.000000
7,8408,8408,0,0.000000,8408,8408,0.027675,0.000000
8,0,0,0,,0,0,0.014483,
8,0,0,0,,0,0,0.009227,
8,1000,1000,0,0.000000,1000,1000,0.009512,0.000000
8,2000,2000,0,0.000000,2000,2000,0.008196,0.000000
8,2124,2124,0,0.000000,2124,2124,0.007372,0.000000
