dataset, bound_index, bound   , obj  , iteration_time
      1,           1,     0   ,     0,              1
      1,           2, 10000   , 10000,              1
      1,           3,     0   ,     0,            137
      1,           4,     0   ,     0,              0
      1,           5,   149   ,   221,            440
      2,           1,     0   ,     0,              0
      2,           2, 10000   , 10000,              0
      2,           3,  3000   ,  3400,            289
      2,           4,  3200   ,  6400,            203
      2,           5,  3208.16,  6463,             87
      3,           1,     0   ,     0,              0
      3,           2,     0   ,     0,              1
      3,           3,     0   ,     0,             32
      3,           4,     0   ,     0,              0
      3,           5,   528   ,   528,            118
      4,           1,     0   ,     0,              0
      4,           2,     0   ,     0,              1
      4,           3,  1220   ,  1220,             34
      4,           4,  2220   ,  2220,             60
      4,           5,  2799.33,  2831,            484
      5,           1,     0   ,     0,              1
      5,           2,     0   ,     0,              4
      5,           3,     0   ,     0,            258
      5,           4,     0   ,     0,              0
      5,           5,  1121   ,  1255,            314
      6,           1,     0   ,     0,              1
      6,           2, 10000   , 10000,              3
      6,           3,     0   ,   200,            287
      6,           4,     0   ,     0,            161
      6,           5,   169   ,   221,            127
      7,           1,     0   ,     0,              0
      7,           2,     0   ,     0,              0
      7,           3,  5400   ,  5400,              0
      7,           4,  8400   ,  8400,              0
      7,           5,  8408   ,  8408,              0
      8,           1,     0   ,     0,              0
      8,           2,     0   ,     0,              0
      8,           3,  1000   ,  1000,              0
      8,           4,  2000   ,  2000,              0
      8,           5,  2124   ,  2124,              0
